,DATE,WEATHER,TEMPC,WIND
0,2009-01-01 00,normal,-7.8,18.0
1,2009-01-01 01,normal,-7.8,18.0
2,2009-01-01 02,normal,-7.8,18.0
3,2009-01-01 03,normal,-8.3,8.0
4,2009-01-01 04,normal,-8.3,11.0
5,2009-01-01 05,normal,-8.9,18.0
6,2009-01-01 06,normal,-9.4,14.0
7,2009-01-01 07,normal,-9.4,8.0
8,2009-01-01 08,normal,-9.4,15.0
9,2009-01-01 09,normal,-8.3,8.0
10,2009-01-01 10,normal,-7.2,14.0
11,2009-01-01 11,normal,-6.1,14.0
12,2009-01-01 12,normal,-5.0,11.0
13,2009-01-01 13,normal,-3.9,14.0
14,2009-01-01 14,normal,-3.9,14.0
15,2009-01-01 15,normal,-3.9,5.0
16,2009-01-01 16,normal,-3.9,8.0
17,2009-01-01 17,normal,-4.4,5.0
18,2009-01-01 18,normal,-4.4,10.0
19,2009-01-01 19,normal,-5.0,11.0
20,2009-01-01 20,normal,-5.0,8.0
21,2009-01-01 21,normal,-5.6,7.0
22,2009-01-01 22,normal,-5.0,5.0
24,2009-01-01 23,normal,,
25,2009-01-02 00,normal,-4.4,3.0
26,2009-01-02 01,normal,-3.9,0.0
27,2009-01-02 02,normal,-3.9,3.0
28,2009-01-02 03,normal,-2.8,3.0
29,2009-01-02 04,normal,-2.8,3.0
30,2009-01-02 05,normal,-2.2,6.0
31,2009-01-02 06,normal,-1.1,3.0
32,2009-01-02 07,normal,0.0,8.0
33,2009-01-02 08,normal,0.6,6.0
34,2009-01-02 09,normal,0.6,16.0
35,2009-01-02 10,normal,0.6,9.0
36,2009-01-02 11,normal,0.6,10.0
38,2009-01-02 12,snow,0.0,11.0
43,2009-01-02 13,snow,-0.6,9.0
47,2009-01-02 14,normal,0.0,3.0
48,2009-01-02 15,normal,0.0,7.0
49,2009-01-02 16,normal,0.6,7.0
51,2009-01-02 17,normal,0.0,6.0
52,2009-01-02 18,normal,0.0,0.0
53,2009-01-02 19,normal,0.6,5.0
54,2009-01-02 20,normal,0.6,7.0
55,2009-01-02 21,normal,1.1,8.0
56,2009-01-02 22,normal,0.6,6.0
58,2009-01-02 23,normal,,
59,2009-01-03 00,normal,0.0,8.0
60,2009-01-03 01,normal,0.0,7.0
61,2009-01-03 02,normal,-0.6,8.0
62,2009-01-03 03,normal,0.0,8.0
63,2009-01-03 04,normal,-0.6,6.0
64,2009-01-03 05,normal,-0.6,10.0
65,2009-01-03 06,normal,-0.6,10.0
66,2009-01-03 07,normal,-0.6,8.0
67,2009-01-03 08,normal,-0.6,8.0
68,2009-01-03 09,normal,0.6,10.0
69,2009-01-03 10,normal,1.7,10.0
70,2009-01-03 11,normal,2.8,14.0
71,2009-01-03 12,normal,2.8,15.0
72,2009-01-03 13,normal,3.3,8.0
73,2009-01-03 14,normal,2.8,13.0
74,2009-01-03 15,normal,2.2,10.0
75,2009-01-03 16,normal,1.7,9.0
76,2009-01-03 17,normal,1.1,11.0
77,2009-01-03 18,normal,0.6,7.0
78,2009-01-03 19,normal,0.6,9.0
79,2009-01-03 20,normal,0.0,11.0
80,2009-01-03 21,normal,-0.6,10.0
81,2009-01-03 22,normal,-1.1,13.0
83,2009-01-03 23,normal,,
84,2009-01-04 00,normal,-2.2,10.0
85,2009-01-04 01,normal,-2.8,8.0
86,2009-01-04 02,normal,-3.3,9.0
87,2009-01-04 03,normal,-3.3,8.0
88,2009-01-04 04,normal,-3.3,8.0
89,2009-01-04 05,normal,-3.9,3.0
90,2009-01-04 06,normal,-3.9,6.0
91,2009-01-04 07,normal,-3.9,9.0
92,2009-01-04 08,normal,-3.3,8.0
93,2009-01-04 09,normal,-2.2,10.0
94,2009-01-04 10,normal,-0.6,10.0
95,2009-01-04 11,normal,1.1,9.0
96,2009-01-04 12,normal,3.3,6.0
97,2009-01-04 13,normal,4.4,10.0
98,2009-01-04 14,normal,5.0,8.0
99,2009-01-04 15,normal,5.0,5.0
100,2009-01-04 16,normal,4.4,6.0
101,2009-01-04 17,normal,4.4,6.0
102,2009-01-04 18,normal,4.4,3.0
103,2009-01-04 19,normal,3.9,6.0
104,2009-01-04 20,normal,3.3,3.0
105,2009-01-04 21,normal,4.4,8.0
107,2009-01-04 22,normal,4.4,9.0
111,2009-01-04 23,normal,,
112,2009-01-05 00,normal,4.4,7.0
113,2009-01-05 01,normal,3.9,9.0
114,2009-01-05 02,normal,4.4,9.0
116,2009-01-05 03,normal,4.4,5.0
117,2009-01-05 04,normal,4.4,6.0
118,2009-01-05 05,normal,4.4,5.0
119,2009-01-05 06,normal,5.0,5.0
120,2009-01-05 07,normal,5.6,6.0
122,2009-01-05 08,normal,6.1,7.0
123,2009-01-05 09,normal,6.1,9.0
124,2009-01-05 10,normal,5.6,9.0
126,2009-01-05 11,normal,5.6,8.0
127,2009-01-05 12,normal,5.6,11.0
128,2009-01-05 13,normal,6.1,11.0
129,2009-01-05 14,normal,6.1,7.0
130,2009-01-05 15,normal,6.1,6.0
131,2009-01-05 16,normal,5.6,8.0
132,2009-01-05 17,normal,5.6,7.0
