weather,hour,dayofweek,count(1)
normal,1,2,1018176
normal,9,3,3034124
fog,3,2,46960
fog,9,5,148229
rain,10,2,157188
snow,13,0,51691
fog,7,4,259420
normal,16,1,2417741
fog,6,0,172964
fog,13,0,157407
normal,21,0,3206932
snow,13,3,14983
normal,7,1,2535822
snow,20,0,30710
normal,9,0,2774985
fog,4,2,54290
normal,22,3,3535049
normal,21,1,3550381
rain,1,1,52088
fog,22,4,232281
fog,8,2,496283
normal,14,6,3138364
rain,22,1,230211
rain,9,3,148331
rain,19,1,279146
snow,10,5,65043
rain,2,3,55605
rain,8,3,254375
rain,14,3,152354
rain,13,6,105176
rain,17,5,143629
fog,5,5,62292
rain,0,2,105214
snow,9,0,67043
snow,20,5,77002
snow,13,2,44084
snow,1,1,51
normal,0,3,1992600
rain,4,1,18531
normal,1,4,1686716
fog,2,3,75930
normal,18,6,3180628
rain,15,2,205094
fog,12,1,232195
snow,10,4,47746
normal,22,0,2828812
rain,5,6,12426
rain,6,0,118419
snow,14,5,133128
rain,14,2,154943
fog,20,3,430671
fog,14,4,209464
normal,8,3,3073585
snow,22,6,22829
fog,6,1,185514
rain,18,6,65684
rain,6,2,134863
normal,19,0,3593276
snow,15,1,41986
rain,18,2,352455
snow,0,2,11726
snow,3,4,10901
snow,7,1,101457
rain,21,1,271825
normal,11,5,2954807
normal,22,1,3326559
normal,2,4,1112221
normal,18,0,3543793
snow,19,3,59694
rain,21,4,249008
normal,22,6,2388956
normal,18,1,3619482
rain,5,2,48845
fog,5,3,77935
snow,0,0,8858
fog,1,5,245332
rain,19,3,317528
normal,9,5,2149817
rain,5,5,26162
fog,0,4,246181
rain,18,0,196697
snow,7,0,40967
normal,17,5,3062567
rain,15,0,191718
rain,8,1,271472
normal,2,1,529422
fog,12,6,166236
snow,22,0,1487
normal,17,0,2946862
rain,20,3,221075
fog,12,2,223964
fog,16,3,141992
normal,4,4,596860
snow,21,3,47460
fog,13,5,141689
rain,10,0,159958
snow,18,0,32295
normal,10,5,2552565
rain,21,0,198269
snow,12,6,24201
fog,13,1,158941
normal,20,5,3510819
fog,9,4,254836
fog,6,3,262650
normal,10,6,2464285
snow,11,5,75377
fog,4,0,32876
normal,6,3,1381702
normal,0,0,1354229
rain,9,0,185393
snow,6,1,45981
fog,15,6,147757
snow,12,1,40054
snow,11,4,44053
rain,5,3,25804
normal,4,0,387848
rain,13,5,156584
normal,1,3,1175872
rain,12,3,130368
normal,15,6,2978084
fog,5,1,55133
snow,5,3,7518
rain,10,1,200809
rain,12,2,199596
fog,13,3,295964
normal,14,1,3077486
normal,5,5,597674
fog,7,3,471411
rain,3,6,57276
rain,3,2,31805
rain,16,6,74971
rain,20,5,189510
snow,16,5,119156
snow,17,5,88062
normal,8,5,1462320
snow,4,5,9836
rain,8,2,178003
normal,21,4,3817939
rain,7,6,15561
rain,7,5,50182
fog,19,5,186885
rain,8,5,61207
rain,12,6,122800
snow,4,4,8526
fog,2,4,92646
normal,3,0,371542
snow,21,0,3342
fog,22,6,110119
snow,1,3,9168
rain,8,4,156232
rain,8,6,27104
fog,7,6,91942
snow,9,4,85146
normal,10,2,2813000
rain,22,6,110505
normal,5,4,631939
normal,2,0,532087
snow,16,3,34477
rain,5,4,25725
normal,13,5,3145415
normal,2,3,750424
normal,5,3,583734
rain,20,2,265263
normal,22,4,3802601
normal,10,0,2515777
fog,9,6,112960
fog,21,4,165993
fog,23,0,14528
fog,16,0,143245
normal,12,5,3147128
fog,9,2,315817
fog,21,0,188725
fog,21,1,337110
rain,2,4,76724
snow,2,3,12003
normal,8,1,3083249
normal,2,6,2688258
rain,10,6,60750
rain,7,0,239658
rain,4,6,37196
fog,2,1,41576
normal,21,2,3851866
fog,10,5,174388
snow,5,5,8677
rain,1,5,139908
normal,8,2,3142235
normal,11,6,2868310
snow,14,6,21478
rain,17,2,214868
fog,22,3,387806
fog,3,1,26916
rain,17,4,183302
normal,11,3,2713946
fog,11,4,158365
normal,0,6,3651625
fog,6,6,38766
fog,5,6,55848
rain,14,6,96516
fog,11,1,244797
rain,15,1,206253
fog,11,2,295554
fog,2,0,32841
rain,13,4,145225
rain,7,4,133564
snow,14,0,50618
rain,3,4,39408
snow,0,6,33755
normal,15,4,2867641
normal,4,3,435016
snow,10,0,56998
fog,0,1,112362
normal,9,1,3042000
fog,15,3,217322
fog,13,2,282424
snow,0,3,31064
normal,9,6,1810948
normal,14,3,3088029
snow,2,0,6417
snow,3,3,6754
rain,0,5,217527
normal,20,1,3765381
fog,21,2,236714
fog,19,0,218134
rain,7,2,154179
normal,11,4,2869395
normal,20,2,3791095
fog,4,6,105122
fog,16,6,126697
fog,14,2,256272
fog,16,1,149311
snow,1,0,5030
fog,23,1,22282
fog,9,0,224955
rain,14,4,105795
snow,18,2,23992
fog,2,5,227322
fog,12,4,162869
normal,8,6,1181829
rain,18,5,196086
rain,2,1,30722
normal,18,4,3723113
normal,3,5,1871215
rain,8,0,232909
snow,4,1,4312
snow,5,0,14634
normal,21,3,3664063
rain,21,5,289905
rain,13,1,306680
rain,21,2,230580
fog,0,0,81451
rain,13,3,151678
normal,3,1,345920
fog,0,5,210512
fog,3,0,27260
normal,21,6,2618269
snow,2,5,19854
rain,1,4,103828
normal,6,5,676776
normal,5,2,542488
fog,11,6,182827
rain,5,1,32902
snow,22,1,28713
normal,19,5,3798652
rain,9,6,52335
normal,5,6,660686
fog,3,3,42452
rain,14,1,211640
rain,3,0,17339
snow,21,1,31806
snow,10,1,61507
normal,0,1,1425356
rain,14,5,182106
rain,21,3,258318
fog,1,3,137187
rain,6,3,129595
fog,7,5,149368
snow,12,5,78837
snow,17,4,61076
snow,20,4,73111
fog,22,0,187551
fog,22,1,253557
rain,22,4,312899
fog,17,1,38810
snow,8,4,130494
rain,15,4,154172
snow,22,3,43554
fog,7,0,200052
fog,17,5,164838
fog,14,0,190105
normal,22,2,3666375
fog,14,5,91054
normal,12,6,3098167
fog,2,6,279331
fog,18,4,148787
normal,16,6,2724223
snow,18,4,73883
fog,0,2,173714
normal,17,3,2968407
snow,4,0,8322
snow,17,6,60818
fog,16,2,98357
snow,1,2,13811
snow,13,1,20917
normal,1,6,3364973
rain,11,6,91976
rain,17,1,217824
fog,1,4,136842
normal,18,3,3596619
snow,2,1,6799
fog,10,1,243169
rain,18,3,172929
fog,6,5,87224
rain,2,2,44247
rain,11,2,177448
normal,9,4,2973109
normal,17,4,2821419
snow,6,4,26015
rain,2,0,36035
rain,3,5,118360
snow,4,3,5632
normal,13,3,2845312
fog,3,6,214405
snow,19,5,110209
fog,19,2,218076
snow,6,3,19253
rain,19,6,59450
rain,13,0,142890
snow,17,2,18322
normal,7,4,2517214
normal,12,1,2811749
snow,22,5,59945
normal,17,2,2989815
rain,20,0,197790
normal,0,4,2488482
normal,9,2,3072821
fog,0,6,308162
snow,14,4,46416
fog,18,1,288373
normal,3,2,420834
rain,2,5,177421
rain,13,2,133737
normal,1,5,3074472
snow,9,1,89507
rain,11,0,227093
snow,18,5,76333
snow,9,3,31054
fog,14,3,208735
fog,7,1,301135
fog,17,2,120555
normal,14,4,3073055
normal,11,1,2705613
normal,10,4,2694095
snow,1,4,34154
snow,19,0,37026
snow,18,6,68510
rain,22,5,247794
fog,8,1,267914
fog,12,3,307727
fog,22,2,277556
normal,13,6,3142403
rain,12,0,172379
fog,5,0,65591
fog,15,4,82254
normal,16,3,2296439
fog,20,4,141795
normal,8,0,2750358
fog,15,2,245576
rain,3,3,44478
normal,15,3,2869284
fog,15,0,222371
snow,11,3,52359
normal,14,0,2742955
rain,16,5,143376
normal,6,4,1455094
normal,3,3,494710
rain,0,3,72126
rain,11,3,170822
fog,8,5,182418
rain,0,4,181397
fog,14,1,133341
normal,15,2,2763910
normal,4,6,1427839
rain,4,3,16660
snow,9,2,26226
fog,18,6,136958
normal,11,2,2798480
snow,0,1,115
fog,10,0,190175
rain,4,2,28873
normal,12,0,2625688
normal,13,4,2894274
fog,16,4,117346
normal,23,2,19056
snow,15,2,18802
snow,8,1,116757
rain,0,1,70875
fog,15,1,120091
rain,18,4,226605
rain,20,6,106729
fog,17,6,124224
normal,16,4,2315097
rain,19,5,234422
normal,7,5,952248
normal,3,6,2230201
fog,19,4,132247
snow,8,5,13899
fog,19,6,172647
snow,3,1,6426
fog,10,2,245256
rain,10,3,145970
normal,6,2,1449412
normal,3,4,737690
fog,20,0,225717
normal,7,0,2318475
fog,11,5,111796
rain,19,4,227616
fog,18,5,206036
snow,21,4,15418
normal,2,2,623035
snow,19,4,79331
fog,5,2,76999
normal,16,2,2320514
fog,9,3,390209
fog,17,3,159432
fog,10,4,278725
fog,1,0,48043
fog,5,4,71245
snow,2,2,8388
rain,17,3,98214
rain,17,0,160384
fog,8,3,369560
fog,11,0,126851
rain,22,3,302889
fog,8,4,171821
snow,21,2,20317
snow,3,5,14879
snow,12,2,23095
fog,4,3,61765
snow,10,3,39362
snow,10,2,45320
snow,9,5,19808
normal,4,5,1212557
rain,5,0,46084
rain,4,4,25871
rain,6,5,34065
fog,19,1,183629
fog,21,6,75367
normal,20,3,3719607
fog,20,6,131434
snow,20,6,34104
rain,1,0,54023
fog,21,5,150443
rain,0,0,79042
normal,20,0,3268955
fog,3,4,80960
rain,9,2,231708
snow,16,1,15517
fog,12,0,182681
snow,20,3,51918
snow,12,0,56590
rain,14,0,221304
fog,16,5,82978
snow,15,6,16345
snow,15,4,40742
