pickupCluster,num,,
0,378627,40.76783121,-73.90934096
1,4191715,40.72076924,-73.99865679
2,5592818,40.773804,-73.96256506
3,4490212,40.74345473,-74.00537358
4,1572475,40.64271086,-73.78906811
5,5607896,40.77379137,-73.87375063
6,3977147,40.76689961,-73.98507066
7,672768,40.68124287,-73.99849349
8,4520480,40.73293663,-73.97945875
9,385981,40.84377904,-73.94061068
10,4143765,40.78560228,-73.97849146
11,6486251,40.74329422,-73.98663548
12,4294877,40.74979211,-74.00422515
13,4352564,40.70682477,-74.00683564
14,343286,40.70055894,-73.92720431
15,7440183,40.75793961,-73.97121888
16,1713332,40.64695121,-73.78948685
17,119089,40.70743237,-73.81832235
18,2129487,40.71425603,-73.95895624
19,2247809,40.76116133,-74.00017117
20,1619085,40.80778023,-73.9630112
21,2932732,40.72127445,-74.00930189
22,2819103,40.74578363,-73.97332256
23,5890770,40.74829224,-73.98367679
24,4117084,40.77442436,-73.95637686
25,21617,40.72884062,-73.7312747
26,6737888,40.73247459,-74.00110701
27,7046926,40.76301338,-73.9687155
28,174335,40.66089711,-73.95676235
29,4205738,40.72390416,-73.98662269
30,151351,40.72937577,-73.84247791
31,61768,40.72679286,-74.05776094
32,6532777,40.77389075,-73.98095853
33,924112,40.80935773,-73.94059776
34,4551143,40.71340593,-74.01487267
35,562417,40.7444987,-73.95161854
36,13567500,40.75036703,-73.9927258
37,6088781,40.74386366,-73.9815952
38,3128455,40.79514753,-73.97175242
39,306605,40.69171639,-73.96746678
40,50511,40.62596419,-74.02318406
41,349151,40.74472188,-73.90320586
42,4258420,40.7579586,-73.96437398
43,46995,40.69902289,-74.17901082
44,3594853,40.78606178,-73.95272224
45,6556427,40.7328806,-73.99111751
46,4673983,40.71412931,-74.00811112
47,23163,40.74212786,-73.79572359
48,6117965,40.7494325,-73.97724724
49,3695026,40.72051566,-74.00426147
50,6386551,40.76102403,-73.98471219
51,4207934,40.73895291,-74.0016267
52,834413,40.72417563,-73.95298044
53,2761747,40.76117658,-73.99486809
54,4455747,40.72718923,-73.99733484
55,14533,40.8760821,-73.83666567
56,774069,40.74395906,-73.92124393
57,13803,40.85334458,-74.12020467
58,481254,40.75870221,-73.93090478
59,125934,40.62602907,-73.96937944
60,19776,40.61295826,-73.91889013
61,2204375,40.76595439,-73.99418099
62,3489958,40.77584446,-73.9467053
63,128335,40.65933679,-73.99476493
64,5569063,40.75829137,-73.97708498
65,4249452,40.76704234,-73.9540455
66,554542,40.70111315,-73.98983525
67,5103078,40.73773989,-73.98344792
68,3449664,40.76438883,-73.97663313
69,6773857,40.7541946,-73.97431221
70,4691593,40.64566813,-73.78053355
71,2627403,40.77648946,-73.98727803
72,6141181,40.7800026,-73.98081004
73,643474,40.82723477,-73.94820105
74,3736243,40.78097961,-73.94879496
75,3953345,40.77212793,-73.95108309
76,217802,40.65823931,-73.79938209
77,843654,40.75180253,-73.93937293
78,6497373,40.74984771,-73.98811296
79,4772617,40.76149458,-73.98883674
80,4125068,40.77897006,-73.96066817
81,356928,40.67739664,-73.967894
82,3865342,40.78244019,-73.97316397
83,5287309,40.76853943,-73.98216523
84,5890308,40.7370974,-73.99550282
85,8955436,40.75656041,-73.99079047
86,59948,40.76966216,-74.03326289
87,161641,40.82133563,-73.92482326
88,3179289,40.74226325,-73.99820429
89,4321799,40.76335081,-73.96469146
90,4082580,40.75499037,-73.96771432
91,938422,40.6926962,-73.99300063
92,363264,40.77260985,-73.92006968
93,5581268,40.72629004,-73.99233217
94,7587303,40.75296229,-73.97907381
95,5562704,40.73967736,-74.00658337
96,80439,40.67389117,-73.92049432
97,1155260,40.79686508,-73.938283
98,2946692,40.75530096,-73.99813337
99,2729993,40.76966887,-73.98933455
100,3199848,40.79151183,-73.96696951
101,2776638,40.72185715,-73.9944161
102,20932,40.66872931,-73.86659892
103,3386473,40.70511708,-74.01344678
104,7323023,40.73860655,-73.98926679
105,54596,40.86974181,-73.90034822
106,134777,40.73188963,-73.86689734
107,7104023,40.75600449,-73.98476476
108,5633874,40.77856338,-73.95446747
109,889175,40.8160792,-73.9571498
110,3880994,40.75069844,-73.97156623
111,1300801,40.79883552,-73.96132566
112,3978158,40.76542551,-73.98022376
113,4053545,40.78926977,-73.97438518
114,7039,40.58790533,-74.16500054
115,5053151,40.72686702,-74.00374299
116,4455187,40.76962194,-73.86364187
117,6585147,40.73068497,-73.98637386
118,5793184,40.76207107,-73.98037758
119,2485469,40.80167643,-73.96766161
120,475514,40.68712316,-73.98968862
121,3041528,40.74681418,-73.99909716
122,45414,40.83340859,-73.86364447
123,812715,40.80537884,-73.95409977
124,723794,40.7640063,-73.92413161
125,1958076,40.71599939,-73.99366157
126,96178,40.68182246,-73.80562588
127,304542,40.68605052,-73.95121764
128,97462,40.86258991,-73.92718848
129,7039227,40.76293105,-73.97314062
