temp,count(1)
-16.7,38951
-16.1,8057
-15.6,177499
-15.0,98752
-14.4,112203
-14.0,27471
-13.9,87381
-13.3,99445
-13.0,81847
-12.8,440383
-12.2,321002
-12.0,195312
-11.7,292072
-11.1,233670
-11.0,142498
-10.6,505508
-10.0,663735
-9.6,22545
-9.4,743956
-9.0,279890
-8.9,823989
-8.3,965306
-8.0,397982
-7.8,1577432
-7.2,1703160
-7.0,228003
-6.7,2269346
-6.1,2306567
-6.0,114714
-5.6,2244710
-5.0,2199195
-4.4,2517730
-4.0,160364
-3.9,3276742
-3.3,3691124
-3.0,129259
-2.8,3887447
-2.2,4062121
-2.0,52179
-1.7,4347441
-1.1,4806511
-1.0,139380
-0.6,5424054
0.0,5958107
0.4,5038
0.6,5809621
1.0,139480
1.1,5813951
1.6,11518
1.7,5658141
1.8,18173
2.0,335928
2.2,7584621
2.3,91732
2.8,7729944
3.0,265420
3.1,17763
3.3,6607917
3.6,45736
3.9,6652458
4.0,543914
4.4,6448948
5.0,8009168
5.6,6906630
6.0,223779
6.1,6903384
6.7,7837647
7.0,287386
7.2,6124555
7.8,6761890
8.0,58129
8.3,6723334
8.9,5523556
9.0,37466
9.4,5967558
10.0,7171772
10.6,7148246
11.0,73516
11.1,7134531
11.7,6212593
12.0,24801
12.2,6988648
12.8,6083421
13.0,58044
13.2,3135
13.3,7968985
13.9,8229811
14.0,17608
14.4,6812073
15.0,7729231
15.6,7668210
16.0,33908
16.1,7806075
16.7,8028786
17.0,28438
17.2,8353617
17.8,7980106
18.3,7475719
18.9,7609705
19.0,23964
19.4,8212495
20.0,8149790
20.3,23763
20.4,4723
20.6,7814013
21.0,202176
21.1,8891561
21.7,8297317
22.0,151183
22.2,8492768
22.8,9892938
23.0,103282
23.3,9278204
23.9,8172803
24.0,134593
24.4,9213459
25.0,7926150
25.6,7653905
26.0,34850
26.1,7379052
26.7,6284908
27.0,39683
27.2,5863620
27.8,5508319
28.3,4986413
28.9,4235491
29.4,3216481
30.0,2656414
30.6,2043201
31.1,1810685
31.7,1381587
32.2,662234
32.8,747717
33.3,469036
33.9,402621
34.4,282379
35.0,137365
35.6,113322
36.1,50751
